submission_id,QUD,RT,age,choice_options_1,choice_options_2,choice_options_3,column_number,comments,condition,correct,education,endTime,expected,experiment_id,gender,languages,prolific_id,question,response,row_number,sentence_chunk_1,sentence_chunk_2,sentence_chunk_3,sentence_chunk_4,situation,situation_number,startDate,startTime,stimulus,timeSpent,trial_name,trial_number
11638,,221434,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,40% of pupils achieved 100% on their exam scores,12|12|3|3|3,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [12, 12, 3, 3, 3]}], ""number"" => 13, ""sequence"" => [""ACCCC"", ""AACCC"", ""ABCCC""], ""truth_table"" => []}",13,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,1
11638,,90018,29,all|most|some|none,all|most|some|none,right|wrong,5,,low,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,"Nobody achieved a 100% score, the highest mark was 75%",9|9|9|9|9,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => '\t\t\t\t\t'}], ""number"" => 17, ""sequence"" => [""BBBBB""], ""truth_table"" => []}",17,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0,14.675733333333334,main_trials,2
11638,,31891,29,all|most|some|none,all|most|some|none,right|wrong,5,,low,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,No pupils managed to achieve any score on their test results,0|0|0|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [0, 0, 0, 0, 0]}], ""number"" => 10, ""sequence"" => [""DDDDD""], ""truth_table"" => []}",10,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,3
11638,,131442,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,"High success from pupils, 3 out of 5 achieving marks of 75% or above",12|12|9|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [12, 12, 9, 0, 0]}], ""number"" => 8, ""sequence"" => [""ABBBD"", ""ABBDD"", ""AABDD"", ""ABBBD"", ""ABBCD"", ""AABCD""], ""truth_table"" => []}",8,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,4
11638,,19863,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,Over half of pupils received a score or 75%,9|9|9|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [9, 9, 9, 0, 0]}], ""number"" => 7, ""sequence"" => [""BBBDD"", ""BBBBD"", ""BBBCD""], ""truth_table"" => []}",7,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,5
11638,,19787,29,all|most|some|none,all|most|some|none,right|wrong,5,,low,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,Less than half of pupils achieved 75%,9|9|0|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [9, 9, 0, 0, 0]}], ""number"" => 3, ""sequence"" => [""BDDDD"", ""BBDDD"", ""BCDDD""], ""truth_table"" => []}",3,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,6
11638,,39983,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,"All pupils received a mark, some achieving up to 75%",9|9|3|3|3,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [9, 9, 3, 3, 3]}], ""number"" => 12, ""sequence"" => [""BCCCC"", ""BBCCC""], ""truth_table"" => []}",12,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,7
11638,,37528,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,"All pupils received a score, 3 out of 5 achieving 75% or above",12|12|9|3|3,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [12, 12, 9, 3, 3]}], ""number"" => 15, ""sequence"" => [""ABBBC"", ""ABBCC"", ""AABCC"", ""AABBC""], ""truth_table"" => []}",15,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,8
11638,,21020,29,all|most|some|none,all|most|some|none,right|wrong,5,,high,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,Over half of pupils recieved a 100% score,12|12|12|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [12, 12, 12, 0, 0]}], ""number"" => 9, ""sequence"" => [""AAADD"", ""AAAAD"", ""AAABD"", ""AAACD""], ""truth_table"" => []}",9,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,9
11638,,23562,29,all|most|some|none,all|most|some|none,right|wrong,5,,low,placeholder,Higher Degree,1580300319777,placeholder,81,female,English,5d6ec011b0077300177095e9,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,Over half of the pupils recieved less than a 50% score,9|9|3|0|0,In this exam,of the students got,of the questions,.,"%{""instances"" => [%{""n_col"" => 12, ""rows"" => [9, 9, 3, 0, 0]}], ""number"" => 6, ""sequence"" => [""BCCCD"", ""BCCDD"", ""BBCDD"", ""BBCCD""], ""truth_table"" => []}",6,Wed Jan 29 2020 12:03:59 GMT+0000 (Greenwich Mean Time),1580299439233,1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14.675733333333334,main_trials,10
