submission_id,QUD,RT,age,bias,choice_options_1,choice_options_2,choice_options_3,column_number,comments,condition,correct,education,endTime,expected,experiment_id,gender,languages,prolific_id,question,response,row_number,sentence_chunk_1,sentence_chunk_2,sentence_chunk_3,sentence_chunk_4,startDate,startTime,stimulus,timeSpent,trial_name,trial_number
91,,35311,26,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,NA,Graduated College,1571591293235,NA,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|1|0|1|1|1|0|1|1|1|1|1|0|0|1|0|0|0|1|1|0|1|0|1|0|1|0|1|0|1|0|0|1|0|0|1|1|1|1|1|1|0|0|0|0|1|0|1|0|1|0|1|1|0|1|0|1|1|0|1,7.0815166666666665,training_trials,1
91,,19919,26,0.9,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,NA,Graduated College,1571591293235,NA,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,many|most|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0,7.0815166666666665,training_trials,2
91,,16331,26,0.2,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,NA,Graduated College,1571591293235,NA,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|1,7.0815166666666665,training_trials,3
91,,13490,26,0.4,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|1|0|1|1|1|1|0|1|1|0|0|1|0|0|1|0|1|1|0|1|0|1|0|1|1|0|0|0|1|1|1|0|0|0|0|0|1|1|1|0|0|0|1|0|0|0|1|1|1|0|1|1|0|1|0|0|1|1|0,7.0815166666666665,main_trials,1
91,,22150,26,0.3,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|few|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|1|0|0|0|1|1|0|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|0|0|1|0|0|1|0|1|1|1|1|0|0|1|0|0|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1,7.0815166666666665,main_trials,2
91,,14466,26,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|1|1|1|0|1|1|1|1|1|0|1|0|1|0|0|0|0|1|0|1|0|1|0|1|1|0|1|0|0|0|0|1|0|0|1|1|0|0|0|1|1|0|1|0|1|0|1|1|0|0|1|0|0|0|1|1|1|1|1,7.0815166666666665,main_trials,3
91,,46141,26,0.8,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|wrong,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1,7.0815166666666665,main_trials,4
91,,11347,26,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|some|wrong,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|0|1|1|1|1|1|0|0|1|0|0|1|1|1|1|0|0|1|0|1|0|0|0|0|0|1|0|1|0|1|1|0|1|0|1|0|1|0|1|1|0|1|1|1|1|0|0|1|0|0|1|0|0|0|1|1|1|1,7.0815166666666665,main_trials,5
91,,11337,26,0.7,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,many|most|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|0|0|1|0|0|0|0|1|0|1|0|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|0|1|0|1|0|1|0|0|0|0|1|1|0|0|1|0|0|0|0|0|1|0|1,7.0815166666666665,main_trials,6
91,,22625,26,0.6,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,many|few|wrong,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|0|1|0|0|0|0|1|0|0|0|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|0|1|1|1|1|0|1|0|0|0|0|1|1|1|0|1|0|1|1|0|1|0|1|0|0|1|1|0|1|1|0|0,7.0815166666666665,main_trials,7
91,,14356,26,0.2,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|0|1|1|1|1|0|1|0|1|1|0|0|0|1|0|1|1|1|1|0|0|0|1|1|0|1|1|1|1|1|1|0|1|1,7.0815166666666665,main_trials,8
91,,17288,26,0.2,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,few|all|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|1|0|1|1|1|1|1|1|0|0|1|1|1|0|1|0|0|0|1|1|1|1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|0|1|1|1|0|0|1|0|1|0,7.0815166666666665,main_trials,9
91,,11277,26,0.8,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,most|many|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0,7.0815166666666665,main_trials,10
91,,20193,26,0.6,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,many|few|wrong,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|0|0|0|1|1|0|0|0|1|1|1|0|0|0|0|1|1|1|0|0|1|0|0|1|1|1|0|1|1|1|0|1|1|1|0|0|0|0|1|0|0|1|1|0|0|1|0|0|1|0|1|1|1|1|0|1|1|0|1,7.0815166666666665,main_trials,11
91,,11913,26,0.7,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,few|most|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|0|1|1|0|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|1|0|1|0|1|0|0|0|0|0,7.0815166666666665,main_trials,12
91,,32331,26,0.3,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,few|most|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,1|0|1|1|1|1|1|1|0|0|1|1|1|0|1|1|1|1|0|0|1|1|0|1|1|1|1|1|1|0|1|0|1|0|1|1|0|0|1|1|1|1|0|1|0|1|1|0|0|0|0|1|0|0|0|0|1|1|1|1,7.0815166666666665,main_trials,13
91,,62260,26,0.4,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,placeholder,Graduated College,1571591293235,placeholder,4,female,english,5ac3b825e734400001da2436,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,most|few|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 18:01:08 GMT+0100 (British Summer Time),1571590868344,0|1|0|0|0|1|1|1|0|1|0|0|1|1|1|1|1|1|1|0|0|1|0|1|0|0|0|1|0|0|1|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|1|0|1|0|1|1|1|0|1|0|1|0|1|1,7.0815166666666665,main_trials,14
90,,23619,38,0.9,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,high,NA,Higher Degree,1571590391583,NA,4,male,english,5563984afdf99b672b5749b6,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,most|most|right,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 09:13:17 GMT-0700 (heure d’été du Pacifique),1571587997267,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0,39.90526666666667,training_trials,1
90,,15994,38,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,,low,NA,Higher Degree,1571590391583,NA,4,male,english,5563984afdf99b672b5749b6,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,many|many|wrong,5,In this exam,of the students got,of the questions,.,Sun Oct 20 2019 09:13:17 GMT-0700 (heure d’été du Pacifique),1571587997267,0|1|0|1|1|1|0|0|1|1|1|0|1|1|1|1|0|1|0|0|1|0|0|1|0|0|1|1|0|1|0|0|0|1|0|1|1|1|0|0|0|0|1|1|0|0|1|0|0|1|1|0|0|1|0|0|0|0|1|0,39.90526666666667,training_trials,2
